"id","partner_id/id","icao","iata","elevation","aerodrome_type"
"aerodrome_00A","partner_00A","00A","","11","heliport"
"aerodrome_00AA","partner_00AA","00AA","","3435","small_airport"
"aerodrome_00AK","partner_00AK","00AK","","450","small_airport"
"aerodrome_00AL","partner_00AL","00AL","","820","small_airport"
"aerodrome_00AR","partner_00AR","00AR","","237","closed"
"aerodrome_00AS","partner_00AS","00AS","","1100","small_airport"
"aerodrome_00AZ","partner_00AZ","00AZ","","3810","small_airport"
"aerodrome_00CA","partner_00CA","00CA","","3038","small_airport"
"aerodrome_00CL","partner_00CL","00CL","","87","small_airport"
"aerodrome_00CN","partner_00CN","00CN","","3350","heliport"
"aerodrome_00CO","partner_00CO","00CO","","4830","closed"
"aerodrome_00FA","partner_00FA","00FA","","53","small_airport"
"aerodrome_00FD","partner_00FD","00FD","","25","heliport"
"aerodrome_00FL","partner_00FL","00FL","","35","small_airport"
"aerodrome_00GA","partner_00GA","00GA","","700","small_airport"
"aerodrome_00GE","partner_00GE","00GE","","957","heliport"
"aerodrome_00HI","partner_00HI","00HI","","43","heliport"
"aerodrome_00ID","partner_00ID","00ID","","2064","small_airport"
"aerodrome_00IG","partner_00IG","00IG","","3359","small_airport"
"aerodrome_00II","partner_00II","00II","","600","heliport"
"aerodrome_00IL","partner_00IL","00IL","","840","small_airport"
"aerodrome_00IN","partner_00IN","00IN","","634","heliport"
"aerodrome_00IS","partner_00IS","00IS","","820","small_airport"
"aerodrome_00KS","partner_00KS","00KS","","1100","small_airport"
"aerodrome_00KY","partner_00KY","00KY","","1265","small_airport"
"aerodrome_00LA","partner_00LA","00LA","","15","heliport"
"aerodrome_00LL","partner_00LL","00LL","","600","heliport"
"aerodrome_00LS","partner_00LS","00LS","","12","small_airport"
"aerodrome_00MD","partner_00MD","00MD","","45","small_airport"
"aerodrome_00MI","partner_00MI","00MI","","588","heliport"
"aerodrome_00MN","partner_00MN","00MN","","1365","small_airport"
"aerodrome_00MO","partner_00MO","00MO","","970","small_airport"
"aerodrome_00MT","partner_00MT","00MT","","2600","closed"
"aerodrome_00N","partner_00N","00N","","105","small_airport"
"aerodrome_00NC","partner_00NC","00NC","","348","small_airport"
"aerodrome_00NJ","partner_00NJ","00NJ","","78","heliport"
"aerodrome_00NK","partner_00NK","00NK","","96","seaplane_base"
"aerodrome_00NY","partner_00NY","00NY","","1000","small_airport"
"aerodrome_00OH","partner_00OH","00OH","","785","closed"
"aerodrome_00OI","partner_00OI","00OI","","905","heliport"
"aerodrome_00OK","partner_00OK","00OK","","960","small_airport"
"aerodrome_00OR","partner_00OR","00OR","","195","heliport"
"aerodrome_00PA","partner_00PA","00PA","","402","heliport"
"aerodrome_00PN","partner_00PN","00PN","","1301","small_airport"
"aerodrome_00PS","partner_00PS","00PS","","815","closed"
"aerodrome_00S","partner_00S","00S","","1620","small_airport"
"aerodrome_00SC","partner_00SC","00SC","","150","small_airport"
"aerodrome_00SD","partner_00SD","00SD","","1590","small_airport"
"aerodrome_00TA","partner_00TA","00TA","","598","closed"
"aerodrome_00TE","partner_00TE","00TE","","600","heliport"
"aerodrome_00TN","partner_00TN","00TN","","1100","small_airport"
"aerodrome_00TS","partner_00TS","00TS","","670","small_airport"
"aerodrome_00TX","partner_00TX","00TX","","19","closed"
"aerodrome_00UT","partner_00UT","00UT","","6138","closed"
"aerodrome_00VA","partner_00VA","00VA","","551","small_airport"
"aerodrome_00VI","partner_00VI","00VI","","2680","small_airport"
"aerodrome_00W","partner_00W","00W","","719","small_airport"
"aerodrome_00WA","partner_00WA","00WA","","150","small_airport"
"aerodrome_00WI","partner_00WI","00WI","","860","small_airport"
"aerodrome_00WN","partner_00WN","00WN","","2900","small_airport"
"aerodrome_00WV","partner_00WV","00WV","","2060","small_airport"
"aerodrome_00WY","partner_00WY","00WY","","5210","heliport"
"aerodrome_00XS","partner_00XS","00XS","","3110","small_airport"
"aerodrome_01A","partner_01A","01A","","1950","small_airport"
"aerodrome_01AK","partner_01AK","01AK","","120","heliport"
"aerodrome_01AL","partner_01AL","01AL","","344","small_airport"
"aerodrome_01AR","partner_01AR","01AR","","400","heliport"
"aerodrome_01AZ","partner_01AZ","01AZ","","3300","heliport"
"aerodrome_01C","partner_01C","01C","","815","closed"
"aerodrome_01CA","partner_01CA","01CA","","3733","heliport"
"aerodrome_01CL","partner_01CL","01CL","","2594","small_airport"
"aerodrome_01CN","partner_01CN","01CN","","300","heliport"
"aerodrome_01CO","partner_01CO","01CO","","10175","heliport"
"aerodrome_01CT","partner_01CT","01CT","","60","heliport"
"aerodrome_01FA","partner_01FA","01FA","","55","small_airport"
"aerodrome_01FD","partner_01FD","01FD","","86","heliport"
"aerodrome_01FL","partner_01FL","01FL","","19","small_airport"
"aerodrome_01GA","partner_01GA","01GA","","319","heliport"
"aerodrome_01GE","partner_01GE","01GE","","375","small_airport"
"aerodrome_01IA","partner_01IA","01IA","","725","small_airport"
"aerodrome_01ID","partner_01ID","01ID","","5268","small_airport"
"aerodrome_01II","partner_01II","01II","","950","small_airport"
"aerodrome_01IL","partner_01IL","01IL","","583","heliport"
"aerodrome_01IN","partner_01IN","01IN","","890","heliport"
"aerodrome_01IS","partner_01IS","01IS","","670","small_airport"
"aerodrome_01J","partner_01J","01J","","59","small_airport"
"aerodrome_01K","partner_01K","01K","","1157","small_airport"
"aerodrome_01KS","partner_01KS","01KS","","1485","small_airport"
"aerodrome_01KY","partner_01KY","01KY","","419","heliport"
"aerodrome_01LA","partner_01LA","01LA","","90","small_airport"
"aerodrome_01LL","partner_01LL","01LL","","555","small_airport"
"aerodrome_01LS","partner_01LS","01LS","","125","small_airport"
"aerodrome_01MA","partner_01MA","01MA","","140","heliport"
"aerodrome_01MD","partner_01MD","01MD","","","seaplane_base"
"aerodrome_01ME","partner_01ME","01ME","","608","seaplane_base"
"aerodrome_01MI","partner_01MI","01MI","","736","heliport"
"aerodrome_01MN","partner_01MN","01MN","","1358","seaplane_base"
"aerodrome_01MO","partner_01MO","01MO","","615","heliport"
"aerodrome_01MT","partner_01MT","01MT","","3141","small_airport"
"aerodrome_01NC","partner_01NC","01NC","","65","small_airport"
"aerodrome_01NE","partner_01NE","01NE","","3000","small_airport"
"aerodrome_01NH","partner_01NH","01NH","","835","small_airport"
"aerodrome_01NJ","partner_01NJ","01NJ","","10","heliport"
"aerodrome_01NM","partner_01NM","01NM","","3630","small_airport"
"aerodrome_01NV","partner_01NV","01NV","","4600","small_airport"
"aerodrome_01NY","partner_01NY","01NY","","100","closed"
"aerodrome_01OI","partner_01OI","01OI","","1140","heliport"
"aerodrome_01OK","partner_01OK","01OK","","1525","closed"
"aerodrome_01OR","partner_01OR","01OR","","4346","closed"
"aerodrome_01PA","partner_01PA","01PA","","1215","closed"
"aerodrome_01PN","partner_01PN","01PN","","960","small_airport"
"aerodrome_01PS","partner_01PS","01PS","","1040","small_airport"
