"id","name","city","country_id/id"
"partner_00A","Total Rf Heliport","Bensalem","base.us"
"partner_00AA","Aero B Ranch Airport","Leoti","base.us"
"partner_00AK","Lowell Field","Anchor Point","base.us"
"partner_00AL","Epps Airpark","Harvest","base.us"
"partner_00AR","Newport Hospital & Clinic Heliport","Newport","base.us"
"partner_00AS","Fulton Airport","Alex","base.us"
"partner_00AZ","Cordes Airport","Cordes","base.us"
"partner_00CA","Goldstone /Gts/ Airport","Barstow","base.us"
"partner_00CL","Williams Ag Airport","Biggs","base.us"
"partner_00CN","Kitchen Creek Helibase Heliport","Pine Valley","base.us"
"partner_00CO","Cass Field","Briggsdale","base.us"
"partner_00FA","Grass Patch Airport","Bushnell","base.us"
"partner_00FD","Ringhaver Heliport","Riverview","base.us"
"partner_00FL","River Oak Airport","Okeechobee","base.us"
"partner_00GA","Lt World Airport","Lithonia","base.us"
"partner_00GE","Caffrey Heliport","Hiram","base.us"
"partner_00HI","Kaupulehu Heliport","Kailua-Kona","base.us"
"partner_00ID","Delta Shores Airport","Clark Fork","base.us"
"partner_00IG","Goltl Airport","McDonald","base.us"
"partner_00II","Bailey Generation Station Heliport","Chesterton","base.us"
"partner_00IL","Hammer Airport","Polo","base.us"
"partner_00IN","St Mary Medical Center Heliport","Hobart","base.us"
"partner_00IS","Hayenga's Cant Find Farms Airport","Kings","base.us"
"partner_00KS","Hayden Farm Airport","Gardner","base.us"
"partner_00KY","Robbins Roost Airport","Stanford","base.us"
"partner_00LA","Shell Chemical East Site Heliport","Gonzales","base.us"
"partner_00LL","Ac & R Components Heliport","Chatham","base.us"
"partner_00LS","Lejeune Airport","Esterwood","base.us"
"partner_00MD","Slater Field","Federalsburg","base.us"
"partner_00MI","Dow Chemical Heliport","Ludington","base.us"
"partner_00MN","Battle Lake Municipal Airport","Battle Lake","base.us"
"partner_00MO","Cooper Flying Service Airport","Alba","base.us"
"partner_00MT","Sands Ranch Airport","Havre","base.us"
"partner_00N","Bucks Airport","Bridgeton","base.us"
"partner_00NC","North Raleigh Airport","Louisburg","base.us"
"partner_00NJ","Colgate-Piscataway Heliport","New Brunswick","base.us"
"partner_00NK","Cliche Cove Seaplane Base","Beekmantown","base.us"
"partner_00NY","Weiss Airfield","West Bloomfield","base.us"
"partner_00OH","Exit 3 Airport","Wauseon","base.us"
"partner_00OI","Miami Valley Hospital Heliport","Dayton","base.us"
"partner_00OK","Gull Bay Landing Airport","Sandsprings","base.us"
"partner_00OR","Steel Systems Heliport","Salem","base.us"
"partner_00PA","R J D Heliport","Coatesville","base.us"
"partner_00PN","Ferrell Field","Mercer","base.us"
"partner_00PS","Thomas Field","Loysville","base.us"
"partner_00S","Mc Kenzie Bridge State Airport","Mc Kenzie Bridge","base.us"
"partner_00SC","Flying O Airport","Sumter","base.us"
"partner_00SD","Homan Field","Gary","base.us"
"partner_00TA","SW Region FAA Heliport","Fort Worth","base.us"
"partner_00TE","Tcjc-Northeast Campus Heliport","Fort Worth","base.us"
"partner_00TN","Ragsdale Road Airport","Manchester","base.us"
"partner_00TS","Alpine Range Airport","Everman","base.us"
"partner_00TX","San Jacinto Methodist Hospital Heliport","Baytown","base.us"
"partner_00UT","Clear Creek Ranch Airport","Kanab","base.us"
"partner_00VA","Vaughan Airport","Alton","base.us"
"partner_00VI","Groundhog Mountain Airport","Hillsville","base.us"
"partner_00W","Lower Granite State Airport","Colfax","base.us"
"partner_00WA","Howell Airport","Longbranch","base.us"
"partner_00WI","Northern Lite Airport","Waupaca","base.us"
"partner_00WN","Hawks Run Airport","Asotin","base.us"
"partner_00WV","Lazy J. Aerodrome","Beverly","base.us"
"partner_00WY","Mountain View Regional Hospital Heliport","Casper","base.us"
"partner_00XS","L P Askew Farms Airport","O'Donnell","base.us"
"partner_01A","Purkeypile Airport","Purkeypile","base.us"
"partner_01AK","Providence Seward Medical Center Heliport","Seward","base.us"
"partner_01AL","Ware Island Airport","Clanton","base.us"
"partner_01AR","Community Hospital of De Queen Heliport","De Queen","base.us"
"partner_01AZ","Yat Heliport","Camp Verde","base.us"
"partner_01C","Grant Airport","Grant","base.us"
"partner_01CA","Lugo Substation Heliport","Hesperia","base.us"
"partner_01CL","Swansboro Country Airport","Placerville","base.us"
"partner_01CN","Los Angeles County Sheriff's Department Heliport","Los Angeles","base.us"
"partner_01CO","St Vincent General Hospital Heliport","Leadville","base.us"
"partner_01CT","Berlin Fairgrounds Heliport","Berlin","base.us"
"partner_01FA","Rybolt Ranch Airport","Orlando","base.us"
"partner_01FD","Advent Health Altamonte Springs Heliport","Altamonte Springs","base.us"
"partner_01FL","Cedar Knoll Flying Ranch Airport","Geneva","base.us"
"partner_01GA","Medical Center Heliport","Columbus","base.us"
"partner_01GE","The Farm Airport","Wrightsville","base.us"
"partner_01IA","Stender Airport","Maysville","base.us"
"partner_01ID","Lava Hot Springs Airport","Lava Hot Springs","base.us"
"partner_01II","Myers Field","Lizton","base.us"
"partner_01IL","Hoopeston Community Memorial Hospital Heliport","Hoopeston","base.us"
"partner_01IN","Community Hospital Heliport","Anderson","base.us"
"partner_01IS","William E. Koenig Airport","Dow","base.us"
"partner_01J","Hilliard Airpark","Hilliard","base.us"
"partner_01K","Caldwell Municipal Airport","Caldwell","base.us"
"partner_01KS","Flying N Ranch Airport","Lost Springs","base.us"
"partner_01KY","Lourdes Hospital Heliport","Paducah","base.us"
"partner_01LA","Barham Airport","Oak Ridge","base.us"
"partner_01LL","Schumaier Restricted Landing Area","Pinckneyville","base.us"
"partner_01LS","Country Breeze Airport","Slaughter","base.us"
"partner_01MA","Compaq Andover Heliport","Andover","base.us"
"partner_01MD","Annapolis Seaplane Base","Annapolis","base.us"
"partner_01ME","Saint Peter's Seaplane Base","Portage Lake","base.us"
"partner_01MI","Flow Through Terminal Heliport","Flint","base.us"
"partner_01MN","Barnes Seaplane Base","Cook","base.us"
"partner_01MO","Highway Patrol Troop C Headquarters Heliport","Town and Country","base.us"
"partner_01MT","Crystal Lakes Resort Airport","Fortine","base.us"
"partner_01NC","Topsail Airpark","Holly Ridge","base.us"
"partner_01NE","Detour Airport","Wellfleet","base.us"
"partner_01NH","Moore Airfield","Canaan","base.us"
"partner_01NJ","Albert Guido Memorial Heliport","Newark","base.us"
"partner_01NM","Champion Ranch Airport","Artesia","base.us"
"partner_01NV","Lantana Ranch Airport","Yerington","base.us"
"partner_01NY","Vassar Hospital Heliport","Poughkeepsie","base.us"
"partner_01OI","Galion Community Hospital Heliport","Galion","base.us"
"partner_01OK","Lawrence Airport","Eakly","base.us"
"partner_01OR","Red & White Flying Service Airport","Silver Lake","base.us"
"partner_01PA","Pine Heliport","Mars","base.us"
"partner_01PN","Bierly(Personal Use) Airport","Bellefonte","base.us"
"partner_01PS","Nort's Resort Airport","Meshoppen","base.us"
"partner_01SC","York Airport","York","base.us"
"partner_01TA","Thirty Thirty Matlock Office Center Heliport","Arlington","base.us"
"partner_01TE","Smith Field","Forney","base.us"
"partner_01TN","Colonial Air Park","Collierville","base.us"
"partner_01TS","St Joseph Hospital Heliport","Fort Worth","base.us"
"partner_01TX","Mims Farm Ultralightport","Waxahachie","base.us"
"partner_01U","Duckwater Airport","Duckwater","base.us"
"partner_01UT","La Sal Junction Airport","La Sal","base.us"
"partner_01VA","Pickles Airport","Berryville","base.us"
"partner_01WA","Willapa Harbor Heliport","South Bend","base.us"
"partner_01WI","Prehn Cranberry Company Airport","Tomah","base.us"
"partner_01WN","Whidbey General Hospital Heliport","Coupeville","base.us"
"partner_01WT","Odyssey Heliport","Renton","base.us"
"partner_01WY","Keyhole Airport","Moorcroft","base.us"
"partner_01XA","Seton Medical Center Hays Heliport","Kyle","base.us"
"partner_01XS","Meadowood Ranch Heliport","Athens","base.us"
"partner_02AK","Rustic Wilderness Airport","Willow","base.us"
"partner_02AL","Bass Field","Foley","base.us"
"partner_02AR","Three Rivers Airport","Little Rock","base.us"
"partner_02AZ","Winchester Farm Airstrip","Willcox","base.us"
"partner_02CA","Swepi Beta Platform Ellen Heliport","Huntington Beach","base.us"
"partner_02CD","Shannon Field","Clarksdale","base.us"
"partner_02CL","Conover Air Lodge Airport","Frazier Park","base.us"
"partner_02CO","Mc Cullough Airport","Monte Vista","base.us"
"partner_02CT","Strangers Point Heliport","Ellington","base.us"
"partner_02FA","Osborn Airfield","Groveland","base.us"
"partner_02FL","Cuchens Airport","Defuniak Springs","base.us"
"partner_02GA","Doug Bolton Field","Commerce","base.us"
"partner_02GE","Etowah Fields Airport","Euharlee","base.us"
"partner_02HI","K3 Helipad Heliport","Pearl Harbor","base.us"
"partner_02IA","Boone County Hospital Heliport","Boone","base.us"
"partner_02ID","Morgan Ranch Airport","Cascade","base.us"
"partner_02II","King Ultralightport","Westfield","base.us"
"partner_02IN","Diamond P. Field","Muncie","base.us"
"partner_02IS","Condell Medical Center Heliport","Libertyville","base.us"
"partner_02KS","Jmj Landing Airport","St Marys","base.us"
"partner_02KT","St Claire Healthcare Heliport","Morehead","base.us"
"partner_02KY","Boone National Guard Heliport","Frankfort","base.us"
"partner_02LA","La State Police Troop G Heliport","Bossier City","base.us"
"partner_02LS","Windy Hill Heliport","Broussard","base.us"
"partner_02MA","Cuttyhunk Heliport","Gosnold","base.us"
"partner_02MD","Garner Field","Brandywine","base.us"
"partner_02ME","Nadeau's Airfield","Acton","base.us"
"partner_02MI","Fairplains Airpark","Greenville","base.us"
"partner_02MN","Greenbush Municipal Airport","Greenbush","base.us"
"partner_02MO","Troy Airpark","Troy","base.us"
"partner_02MS","Watts Field","Rochdale","base.us"
"partner_02MT","Barrett Field","Cascade","base.us"
"partner_02MU","Timber Line Airpark","Cassville","base.us"
"partner_02NC","Race City Heliport","Landis","base.us"
"partner_02NE","Benes Service Airport","Valparaiso","base.us"
"partner_02NH","Iroquois Landing Seaplane Base","Dummer","base.us"
"partner_02NJ","Penske Heliport","Piscataway","base.us"
"partner_02NV","Paiute Meadows Airport","Winnemucca","base.us"
"partner_02NY","Hansen Heliport","Durhamville","base.us"
"partner_02OH","Zimmerman Airport","Fremont","base.us"
"partner_02OI","Murtha Airport","Conneaut","base.us"
"partner_02OK","Canon Heliport","Oklahoma City","base.us"
"partner_02OR","Rowena Dell Airport","The Dalles","base.us"
"partner_02P","Stottle Memorial Heliport","Honey Grove","base.us"
"partner_02PA","Lag Iii Heliport","Monroeville","base.us"
"partner_02PN","Peco Berwyn Heliport","Berwyn","base.us"
"partner_02PR","Cuylers Airport","Vega Baja","base.pr"
"partner_02PS","Hughes Ultralightport","Tioga","base.us"
"partner_02SC","Harpers Airport","Estill","base.us"
"partner_02T","Wise River Airport","Wise River","base.us"
"partner_02TA","Matagorda Shore Facility Heliport","Matagorda","base.us"
"partner_02TE","Baylor Medical Center Heliport","Waxahachie","base.us"
"partner_02TN","Ellis Field","Murfreesboro","base.us"
"partner_02TS","FWOMC Heliport","Fort Worth","base.us"
"partner_02TX","The Palms At Kitty Hawk Airport","New Home","base.us"
"partner_02UT","Lucin Airport","Lucin","base.us"
"partner_02VA","The Greenhouse Airport","Culpeper","base.us"
"partner_02VG","Northstar Aviation Heliport","Bristol","base.us"
"partner_02WA","Cawleys South Prairie Airport","South Prairie","base.us"
"partner_02WI","Beer Airport","Hudson","base.us"
"partner_02WN","Fowler Field","Tonasket","base.us"
"partner_02XA","JLS Farms Airport","Honey Grove","base.us"
"partner_02XS","Seidel Ranch Airport","Elroy","base.us"
"partner_03AA","Trapper T Heliport","Palmer","base.us"
"partner_03AK","Joe Clouds Seaplane Base","Kenai","base.us"
"partner_03AL","Highland Medical Center Heliport","Scottsboro","base.us"
"partner_03AR","Hscmh Heliport","Malvern","base.us"
"partner_03AZ","Thompson International Aviation Airport","Hereford","base.us"
"partner_03CA","Grossmont Hospital Heliport","La Mesa","base.us"
"partner_03CO","Kugel-Strong Airport","Platteville","base.us"
"partner_03FA","Lake Persimmon Airstrip","Lake Placid","base.us"
"partner_03FD","Tharpe Airport","Bonifay","base.us"
"partner_03FL","Ranger Heliport","West Palm Beach","base.us"
"partner_03GA","HIA Airport","Statesboro","base.us"
"partner_03I","Clarks Dream Strip","Circleville","base.us"
"partner_03IA","East Field","Montezuma","base.us"
"partner_03ID","Flying Y Ranch Airport","Council","base.us"
"partner_03II","Davis Field Ultralightport","Mount Vernon","base.us"
"partner_03IL","Wix Airport","Monee","base.us"
"partner_03IN","Heinzman Airport","Arcadia","base.us"
"partner_03IS","OSF St Anthony's Health Center Heliport","Alton","base.us"
"partner_03KS","Valley Grain Heliport","Highland","base.us"
"partner_03KY","Flying H Farms Airport","Henderson","base.us"
"partner_03LA","Damien Heliport","Carville","base.us"
"partner_03LS","Fmc Nr 1 Heliport","Winnsboro","base.us"
"partner_03M","Lakeside Marina Seaplane Base","East Winthrop","base.us"
"partner_03MA","Hadley Airport","Hadley","base.us"
"partner_03MD","Upper Chesapeake Medical Center Heliport","Bel Air","base.us"
"partner_03ME","Maple Ridge Airport","Harrison","base.us"
"partner_03MI","Harold Miller Heliport","Bay City","base.us"
"partner_03MN","Nauerth Land Ranch Airport","Lakefield","base.us"
"partner_03MO","Cahoochie Airport","Urbana","base.us"
"partner_03MS","Vicksburg Medical Center Heliport","Vicksburg","base.us"
"partner_03MT","Cascade Field","Cascade","base.us"
"partner_03MU","Mc Donnell Airport","Archie","base.us"
"partner_03N","Utirik Airport","Utirik Island","base.mh"
"partner_03NC","Pilots Ridge Airport","Carolina Beach","base.us"
"partner_03ND","Olafson Brothers Airport","Edinburg","base.us"
"partner_03NE","Hyde Ranch Airport","Comstock","base.us"
"partner_03NH","Lorden Heliport","Milford","base.us"
"partner_03NJ","At&T Heliport","Berkeley Heights","base.us"
"partner_03NV","Llama Ranch Airport","Ruby Valley","base.us"
"partner_03NY","Talmage Field","Riverhead","base.us"
"partner_03OH","Gibbs Field","Fremont","base.us"
"partner_03OI","Cleveland Clinic, Marymount Hospital Heliport","Garfield Heights","base.us"
"partner_03OK","Sahoma Lake Airport","Sapulpa","base.us"
"partner_03OR","Powwatka Ridge Airport","Troy","base.us"
"partner_03PA","Collegeville Heliport","Collegeville","base.us"
"partner_03PN","M.P. Metals Heliport","Berwick","base.us"
"partner_03PR","Sun View Field Airport","Bonner Springs","base.us"
"partner_03PS","Ziggy's Field","Bellefonte","base.us"
"partner_03S","Sandy River Airport","Sandy","base.us"
"partner_03SC","Seacoast Medical Center Heliport","Little River","base.us"
"partner_03TA","Gay Hill Farm Airport","Gay Hill","base.us"
"partner_03TE","Barronena Ranch Airport","Hebbronville","base.us"
"partner_03TN","Eagles Landing Heliport","Sevierville","base.us"
"partner_03TS","Shannon Medical Center Heliport","San Angelo","base.us"
"partner_03TX","M D K Field","Pearland","base.us"
"partner_03UT","A Z Minerals Corporation Airport","Mexican Hat","base.us"
"partner_03VA","Whipoorwill Springs Airport","Nokesville","base.us"
"partner_03WA","Spangle Field","Spangle","base.us"
"partner_03WI","Zink Airport","Berlin","base.us"
"partner_03WN","Aerostone Ranch Airport","Goldendale","base.us"
"partner_03XS","Creekside Airport","Mertzon","base.us"
"partner_04AA","Flying W Ranch Airport","Soldotna","base.us"
"partner_04AL","Anniston AHP (Anniston Army Depot)","Anniston","base.us"
"partner_04AR","Saline Memorial Hospital Heliport","Benton","base.us"
"partner_04AZ","(Old) Chinle Airport","Chinle","base.us"
"partner_04CA","Gray Butte Field","Palmdale","base.us"
"partner_04CL","Hunt's Sky Ranch Airport","Julian","base.us"
"partner_04CT","Shingle Mill Heliport","Harwinton","base.us"
"partner_04F","De Leon Municipal Airport","De Leon","base.us"
"partner_04FA","Richards Field","Homestead","base.us"
"partner_04FD","Tampa General Hospital Brandon Healthplex Heliport","Brandon","base.us"
"partner_04FL","Cross Creek Farms Airport","Ormond","base.us"
"partner_04I","Columbus Southwest Airport","Columbus","base.us"
"partner_04IA","Middlekoop Airport","Packwood","base.us"
"partner_04ID","Lanham Field","Emmett","base.us"
"partner_04II","Turkey Run Airport","New Haven","base.us"
"partner_04IL","Schertz Aerial Service - Hudson Airport","Hudson","base.us"
"partner_04IN","Lake Gage Seaplane Base","Angola","base.us"
"partner_04IS","Van Gorder Airport","Mansfield","base.us"
"partner_04KS","Robinson Industries Heliport","Lawrence","base.us"
"partner_04KY","Natchez Trace Farm Airport","Hiseville","base.us"
"partner_04LA","St James Heliport","Lutcher","base.us"
"partner_04LL","Brunner Airport","West Dundee","base.us"
"partner_04LS","La National Guard Heliport","Baton Rouge","base.us"
"partner_04MA","Goddard Field (Airport)","Haverhill","base.us"
"partner_04MD","Chesapeake City Heliport","Chesapeake City","base.us"
"partner_04ME","Beech Hill Airport","Mercer","base.us"
"partner_04MI","Rapids Airway Airport","Eaton Rapids","base.us"
"partner_04MN","Helblad Airport","Kelliher","base.us"
"partner_04MO","Airpark Private Airport","Vandalia","base.us"
"partner_04MS","Nick's Flying Service Inc Airport","Rolling Fork","base.us"
"partner_04MT","Pluhar Airport","Cohagen","base.us"
"partner_04NC","Western Wake Medical Center Heliport","Cary","base.us"
"partner_04NE","Mc Connell Field Airport","Sarben","base.us"
"partner_04NJ","Emmanuel Airport","Elmer","base.us"
"partner_04NV","Kingston Ranch Airport","Sandy Valley","base.us"
"partner_04NY","Klaverack Airport","Hudson","base.us"
"partner_04OG","Teufel Heliport","Forest Grove","base.us"
"partner_04OH","Bossow Airport","Garrettsville","base.us"
"partner_04OK","Stillwater Medical Center Heliport","Stillwater","base.us"
"partner_04OR","Collins Landing Strip","Mitchell","base.us"
"partner_04PA","S & C Distribution Center Heliport","Philadelphia","base.us"
"partner_04PN","Strawbridge & Clothier Exton Heliport","Exton","base.us"
"partner_04SC","Emergency Helipad","Easley","base.us"
"partner_04SD","Cheyenne River Health Center Heliport","Eagle Butte","base.us"
"partner_04TA","Capitol National Bank Building Heliport","Austin","base.us"
"partner_04TE","Veterans Affairs Medical Center Heliport","Houston","base.us"
"partner_04TN","Hensley Airpark","Chuckey","base.us"
"partner_04TS","Hummingbird Heliport","Hutto","base.us"
